author,text,source,date,url
lola81,"Pues si, Sil la gente lee pero no escribe, si yo hubiese sabido esto no voy dnde Margalet ni muerta, ya no hay vuelta atrás.",elatleta.com,09/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page4
cph,"Hola, yo NO estoy operado por Margalet.... pero por poco. Hace cosa de dos años me diagnosticaron el choque y tras visitar un par de traumas en mi ciudad y leer estupendas opiniones de Margalet me cogí un avión para Barcelona para tener una consulta con él. Todo muy bien, muy correcto. Demasiado correcto diría. La consulta más larga que he tenido en mi vida, cerca de una hora con invitación a café incluido. Yo no puedo hablar mal de él, el trato fue bueno. Eso sí, te lo pinta todo de color de rosa. En 6 meses vuelves a hacer deporte igual que ahora. Qué más quieres oír en esos momentos de desesperación!! Sales de la consulta con la sensación de  querer operarte ese mismo día, cuanto antes.",elatleta.com,16/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page4
eurom,"Para cph: conozco personalmente a varias personas operadas d esta historia. Algunos son compañeros d trabajo y ninguno está corriendo y saltando. Ni d lejos. Algunos andan como pueden y no se atreven a operarse la otra. Conozco tb a 2 deportistas profesionales q han tenido q abandonar su deporte. A ninguno les ha operado Margalet. lo q si t puedo decir es q la palabra d Margalet hay q cogerla con pinzas. T vende un elixir mágico jugando con la absoluta desesperación del paciente. La consulta es una puesta en escena perfecta. Se toma un café, t habla d jamadas en el bulli, t vende paz y armonía. Tranquilo q estás conmigo y esto t lo soluciono yo sin mayor problema. En 1 hora. Los demás tardan  4. Luego, si eres de fuera y las cosas no van bien igual no consigues volver a ver a esa bella persona. Eso tenlo muy en cuenta. Mucha precaución q veo q la tienes. Un abrazo.",elatleta.com,17/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page4
eurom,"Hola Tico, creía que era el único al que Margalet contestaba con  respuestas que me parecían que no tenían nada que ver con las consultas que yo le hacía. Pero veo que la línea de sus actuaciones es común con todo el mundo. Negar los problemas, responder con evasivas, diría que  ningunearte para que te acabes buscando la vida en otro sitio. Y en ese otro sitio los problemas o son de muy difícil solución o, simplemente, no la tienen. La técnica de Margalet no es seguida por los mayores expertos de cadera del país. Parece que ellos prefieren trabajar 4 o 5 horas horas en lugar de 1 hora y media porque deben ser muy lerdos...Somos muchos los que hemos ido mal a su consulta y hemos salido mucho peor, Y eso por mucho que el lo niegue, lo ve y lo sabe. Yo tengo un absoluto miedo a que tengan problemas para colocarme la prótesis por el estropicio que tengo dentro. Cuidado. Mucho cuidado. Un saludo.",elatleta.com,18/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page4
eurom,Gracias sergibnc.  Recuerdo q lo habías comentado. Felicidades. Seguro q Tey estará aprendiendo el out inside de Margalet para trabajar mucho menos. Estará pensando q d esto no sabe...un saludo,elatleta.com,18/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page5
lola81,"Te entiendo perfectamente y que tengas tantas dudas, a ver q te dice Villamor pero tienes una gran oportunidad de preguntarle sobre la técnica out-inside de Margalet que aunque no va a criticar a un compañero, si es un profesional te dará su punto de vista, para aclarar tus dudas.",elatleta.com,19/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page5
lola81,"Tipsin, yo creo que has hecho lo correcto, aparte de que la técnica de Margalet es mala, si le añades que tienes artrosis avanzada, es un mal resultado fijo.",elatleta.com,28/05/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page5
eurom,"Pido publicamente que salga alguien operado por el doctor Eric Margalet que esté satisfecho con lo que él le prometió y con el resultado de su trabajo. Sólo conozco a una persona en los foros que le defiende, que dice que fue en silla de ruedas y ahora está perfecta (lázaro, levántate y anda).",elatleta.com,29/05/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page5
toledano1973,Operado con margalet en verano del 2011,elatleta.com,16/06/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page5
eurom,"Hola Yolicm23: Mucho he escrito ya de Eric Margalet. Mi opinión es clara: su clínica genera muchos gastos y éstos hay que pagarlos. Hablando maravillas de Margalet creo que en este foro no hay ninguno aunque yo he pedido en alguna ocasión que alguien salga a defenderlo. Todo lo que cuentas lo he vivido en primera persona con el agravante de que yo no tenía seguro. No me voy a extender porque tampoco creo que valga de mucho. Al final, todos creemos que con uno va a ser diferente. La mayoría de los médicos son mediocres aunque queremos creer lo contrario. El fin de un médico no debe ser hacerse rico. Si acudieras a más traumas te darían versiones difrerentes hasta qyue hicieras el arcoiris. Mi trauma de la seguridad social no puede ni andar y no se opera. Que no habrá visto y que no habrá hecho. Su poder es casi ilimitado. Un saludo.",elatleta.com,21/09/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page6
lola81,"Tiopat, no se donde está, sé lo mimo que tú, según Margalet se cambió por la distancia, ella debe vivir en Tarragona, pero a mi tb me huele mal, mal, vamos que han acabado como un cristo, me apuesto un dedo y no lo pierdo.",elatleta.com,20/10/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page6
Portos,"A mi me opero Margalet hace ahora 4 años y estoy muy bien la verdad.Esto es lo que tenia y lo que me hizo:Rotura Labral y condromalacia grado 1 femoroacetabular .Se procedio a :Reinsercion labral con anclajes ,sinovectomia y artrolisis artroscopica ,osteocondroplastia femoroacetabular ,infiltracion PRGP,.La verdad es que a dia de hoy estoy muy bien,practico surf 2 o 3 veces a la semana,los dias que no hay olas ,hago eliptica o spinnig una hora o asi en el ginnasio y suelo caminar con mi perro por el monte o por la playa de 10 a 15 km todos los dias ,antes de la operacion apenas podia caminar ,por eso yo solo tengo buenas palabras para Margalet ,pero leyendo en el foro la verdad es que me habeis acojonado y me da mucha pena por todos los que estais mal y lo siento muchisimo ya que se lo que es estar asi,lo que me gustaria es que si a vosotros os fue mal ya despues de la operacion o empezasteis a estar mal con el paso de los años,yo llevo 4 años y ya os digo que de momento estoy muy bien,espero que os sirva de algo mi experiencia,mucho animo a todos y un saludo",elatleta.com,24/01/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page6
Portos,"Pues en cuanto pueda,me pasare a hacer una artrores..para ver si todo esta bien,mas que nada para quedarme tranquilo,pero ya os digo ,que de momento ,no tengo molestias y hace cuatro años de la operacion,antes de la cirugia me dolia mucho la zona de la ingle,a veces cuando apoyaba me quedaba como sin fuerza y me fallaba la pierna,vamos,que alguna vez me fui al suelo,y en la bici no podia ni pedalear ni 5 minutos ,yo os cuento mi experiencia por si le puede servir de ayuda a alguien,nada mas,ni defiendo a Margalet ni nada,es mas me opere con el ,porque me cubria los gastos de la cirugia el seguro medico y con Ribas por ejemplo no,ni mas ni menos ,en cuanto a lo de la capsulotomia ,ni idea ,a mi me explico lo que me habia hecho y que me inyecto los factores y pues nada ,estube 6 semanas con muletas y a los 3 meses ya surfeaba,gracias por el consejo de lo de la capsula ,que no tenia ni idea ,hare la resonancia para despejar dudas ,un saludo",elatleta.com,27/01/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page7
eurom,Pérez Carro hablando en sus vídeos de la importancia de la preservación capsular...y Margalet abriéndolas como melones y sin cerrarlas.,elatleta.com,02/02/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page7
lola81,"Hola Zarek, no es por desanimarte pero Margalet no es un buen cirujano, fuera aparte de que no cose la cápsula(cosa que no te puedo asegurar si sigue o las ha empezado a coser).",elatleta.com,09/02/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page7
tiopat,"No puedo estar más de acuerdo con Lola81, Margalet me ha demostrado personalmente que no es buen cirujano. No sólo porque los resultados de sus cirugías no son buenos sino porque es capaz de cualquier cosa con tal de que te operes.....con él; cordialidad, abrazos, promesas.....lo que sea. Eso sí, los fracasos ni verlos, en cuanto las cosas vayan mal..no quiere saber nada. En lo que es un verdadero experto es en la traumatología-ficción con esperpentos como el que ha comentado aquí eurom de que no le infiltraba plasma porque lo iba a eliminar por la orina.......sin comentarios. ",elatleta.com,14/02/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page7
otera,"hola que pena no poder asistir pasado mañana al hotel AC Gava Mar donde Margalet y otros compañeros daran charlas sobre la artroscopia de cadera, me hubiera gustado estar allí para formularle algunas preguntas",elatleta.com,02/03/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page7
Achab,"A mi me operó Margalet de las dos caderas en 2012 , al principio la cosa evolucionaba bien,  pero al año y medio empezó a ir cada vez peor. El año pasado ya me diagnosticaron artrosis y el dolor va en aumento por lo que supongo que tendré que ir pensando en prótesis. La verdad es que estoy un poco desmoralizado y no se si merece la pena empezar otro periplo con los doctores que mencionáis.",elatleta.com,27/04/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page7
vasily,"Hola Eurom, tenia la posibilidad de operarme ,rotura Labrum con Margalet pero despues de los comentarios que he leido, me han enfriado completamente. ",elatleta.com,05/09/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page8
vasily,"Hola Toledano, tal como nos lo ofreces, te agradeceria me informaras, segun tu experiencia, los medicos que te meritan confianza. En efecto, Margalet me dic que me puede operar sin problema, incluso con una coxartrosis leve. Con todo lo que he leido, ..........agraeceria tu informacion para pedir otras opiniones",elatleta.com,19/09/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page8
eurom,Lo de Margalet poco a poco empieza a ser un reguero...cuantos no escribirán por pereza o desconocimiento.,elatleta.com,03/10/2016,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page8
raul medina,"ah!! cada operacion me sale por unos 7000 euros, espero q valga la pena.... me opera el doctor eric margalet",elatleta.com,22/04/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page16
raul medina,"el lunes se me practico una artroscopia de cadera de la pierna izquierda en la clinica tres torres de barcelona y el martes me dieron el alta, me dijeron que durante un mes reposo en casa y nada de apollar la pierna operada, en el informe medico pone que se me relizo: artrolissis y senovectomia, condroplastia femoral,sutura y reinsercion labral con dos anclajes tipo lupiney viscosuplementacion , ya que mi diagnostico decia q tenia desinsercion labrum acetabular, sobrecrecimiento oseo acetabular secundario y giva femoral....al hablar con el doctor eric margalet me comenta que esta contento con la operacion pero me dice que tengo la cadera dañada con bastante desgaste pero que no tengo que preocuparme ya q el motivo del desgaste es el choque femoral que sufria y no tiene porque ir a mas, os comento mis sintomas a 4 dias de la operacion.... tengo el lateral del muslo bastante inflamado y al moverme me dan pinchazos( como corriente) aun no se si tengo mejor movilidad, pero puedo decir q los fuertes dolores q he sufrido durante varios años en las ingles parece  q en la operada ya no los tengo, cuando pase un mes me mandaran al fisioterapeuta del mismo equipo , me comentaron q suele hacer trabajos dentro del agua, la verdad q tengo ganas de empezar ya!! al principio me dijeron q alos tres meses me operarian de la segunda pero ahora me dicen q tengo para unos 2 años para estar recuperado q me lo tome con paciencia la verdad q se me hace dificil ya q llevo mas de un año de baja laboral y porsupuesto  deportiva y encima fui operado por la mutua del futbol de osteopatia de pubis por un mal diagnostico.... deciros a todos que si decidiis operaros en clinicas privadas en barcelona teneis a eric margalet de la clinica tres torres que es reconocido como uno de los mejores artrocopistas del mundo y es una persona encantadora y tambien esta doctor ribas  en la clinica dexeus, saludos!!!",elatleta.com,08/05/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page17
Jardón,"Buena Moncho, soy nueva en el foro, haber si te puedo ayudar, tanto la cadera en resorte como la trocanteritis, el sindorme del pirramidal, son cosas que facilmente se pueden diagnosticar antes de llegar normalmente al lo que verdaderamente produce el dolor, a mí me tuvieron tres años y medio con muletas, despues de 7 infiltraciones, pastillas de todo tipo, ozono, acupuntura etc.y primero era tocanteritis, luego el piramidal, luego la cadera en resorte, luego una malformación y al final no sabían q era, hasta que encontré al Dr. Margalet, un fenomeno, con la primera radiografia que vió de hace 5 años ya realizó el diagnostico y en 6 meses operó mis dos caderas y estoy como nueva y dad de alta. En una pagina que es de un programa de radio vivir mejor creo que se llama tiene varios reportajes de como realiza estas operaciones novedosas, sino poniendo artroscopia de cadera por Eric Margalet te salen cosas, si quieres ver su curriculum ve a institutmargalet. No hay q pasar dolor, solo buscar una solución, un saludo",elatleta.com,16/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page20
Jardón,"Asturias, me dejas flipada, hoy endía no hace falta que te abran para limar la giba, con una artroscopia te dejan echo un pincel, te lo digo por experiencia propia, limar giba, choque, osteofitos, etc.  Lo hace el Dr. Margalet en clínica tres torres Barcelona. Asesorate antes de hacer una cirugia abierta que eres un chaval.",elatleta.com,16/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page20
raul medina,"hola jardon estoy deacuerdo contigo y ademas compartimos cirujano, el mes pasado se me realizo artroscopia de cadera en la clinica tres torres de barcelona que es  donde se encuentra el equipo institut margalet y estoy contentisimo de mi eleccion ya q he pasado por infinidad de medicos e incluso fui operado de oste...opatia de pubis por un mal diagnostico...os dejo mi correo por si quereis poneros en contacto conmigo rmedina""hotmail.es",elatleta.com,16/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page21
Jardón,"Por la seguridad social, en Asturias nadie opera con artroscopia la cadera, entonces me mandaron a Valencia, y el resto ya lo sabes, luego busqué hasta que encontré al Dr. Margalet (PRIVADO), pero fue lo mejor que me pudo pasar, me gasté sobre 20.000 E en las dos caderas pero merece la pena, te lo aconsejo.",elatleta.com,16/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page21
Jardón,"Espero te sirva de algo, operar no tiene porque suponer empeorar, ahora tal vez no te encuentres mal, pero si en un mes te empieza a dar mucha lata, q haces? yo por no encontrar a tiempo quien me operase tenía dos esquirlas de un osteofito navegando por mi pierna, y pudieron clavarse en una vena y armar un pifostio del copón, y si fuese hoy  me hubiese operado al día siguiente del diagnostico. El Dr. Margalet es el profesional más cualificado para todas estas cosas que hay hoy en día, además es especialista en casos raros, yo te aconsejaría que lo visitases. Clinica tres torres, barcelona.  Si quieres saber quien es busca institutmargalet y ya veras.  Un saludo.",elatleta.com,16/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page21
raul medina,"hola!! al igual que jardon estoy en manos del doctor eric margalet y si que fue el mismo doctor el que le opero la rodilla, aqui te dejo el numero de telefono del doctor maralet directamente no el de su consulta 638661299 te atendera sin problemas es encantador, en el caso q no lo localices llama a la clinica tres torres y pregunta por montse q es su secretaria al numero 93-2041300 yo ahora estoy recuperandome de la primera hace poco q me opero este medico tiene una tecnica llamada margalet que en lugar de tardar 2-o -3 horas en poco mas de una listo, al igual q jardon visite infinidad de medicos y ellos fueron quienes me lo recomendaron, me visito ribas dexeus, angel villamor iqtra, doctor cugat quiron y al fnal me acabe con el, ademas el solo accede a la articulacion por 2 portales sea cual sea la lesion, por algo es el q da los cursos en españa digo yo!!",elatleta.com,18/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page21
Jardón,"Perdona tiopat por el retraso en contestar, como muy bien ha dicho Raúl, el Dr. Margalet en una sola intervención abordó cadera y rodilla, en la caadera accedió por dos portales de dos grapas cada uno y en la rodilla también, pero más pequeños, uno ya apenas se nota, una sola grapa y el otro dos grapitas, y no soy ningún superheroe ni nada parecido, las lesiones estaban muy avanzadas, ya q estaba en una silla de ruedas después de tres años y medio en muletas y haciendo hidroterapia todos los días 2 horas, estoy también de acuerdo con Raúl en q si te pones en contacto con él te atenerá encantado, creo q Raúl te ha dado todos los datos que necesitas para contactar con él, pero si necesitas algo más solo tienes que escribir y encantado yo te ayudo, de todos modos eres tú el q tienes que decidir, a mí fue el que me solucionó el papelón después de casi 5 años de dolencia y te aseguro que el camino estuvo lleno de zancadillas.  Un saludo y ánimo que luchando todo se puede.",elatleta.com,18/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page21
MONCHO1,"Hola, gracias a Jardón he consultado enlaces que hablan sobre el doctor Margalet como este ",elatleta.com,20/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page21
Jardón,"Tranqui Ismael, hay muchos que no saben d que va esto, a mí me llegaron a decir que ""había q aguantar con lo que Dios nos daba, fuera bueno o malo"" y otro "" si usted fuera familiar mío no le dejaria nunca hacerse esa operación"" pero resulta que están hechas y los resultados son magnificos, buscate alguien q sepa de esto, Sé que Margalet estuvo hace poco en un congreso en Cordoba, echa un vistazo haber quien asistió y esté cerca de ahí. Un saludo.",elatleta.com,23/06/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page22
Jardón,"No sé mucho de los de Madrid, pero el dr. Margalet en barcelona atendió una amiga la semana pasada y dentro de 15 días se opera, mi consejo es que en estos casos no se puede esperar,  diagnosticar y si hay que operar valor y al toro. Te pongo un enlace echa un vistazo si quieres.  ",elatleta.com,28/09/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page27
M ANGELES,Hola!! Yo me visité ayer con el Dr. Margalet y me opero el día 4 de noviembre. Creo que no es mucha espera...,elatleta.com,29/09/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page27
Jardón,"Para todos los que en alguna ocasión habéis preguntado por lo de los seguros médicos, para el Dr. Eric Margalet si tenéis SANITAS MUNDI creo que os entra todo para poder operaros, consultas, revisiones, ect, hoy me lo han comentado. Espero sirva de ayuda para algunos. Saludos y no deceigais en la lucha.",elatleta.com,04/11/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page29
alicia79,"Hola, me ha respondido el Dr. Eric Margalet al correo con las radiografías que le he mandado de pelvis de frente y axial y me indica que SI que hay indicios de que pueda tratarse de un PFA. Claro, me comenta que acuda a su consulta para poder valorarlo mejor pero obviamente yo vivo en Madrid y por motivos económicos, ya que tampoco pertenezco a ninguna Sociedad Médica, no estoy para poder trasladarme a Barcelona y acudir a su consulta para que luego igual compruebe que no se trata de un PFA...por ese motivo, me habían comentado que la prueba donde mejor se vé si hay un pfa en en la artroresonancia con contraste porque me han hecho RM de cadera y el informe indica que no se objetivan Alteraciones Significativas aunque si indica que hay ""una mínima cantidad de líquido en la articulación coxofemoral derecha,de escasa cuantía y dudosa valoración..."", el resto normal..",elatleta.com,08/12/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page31
alicia79,"Muchas gracias, me estáis ayudando mucho pero claro tampoco puedo dar pasos en falso y tengo que tener mucho cuidado con el diagnostico. Tengo entendido que en Madrid el Dr. Villamor tambien opera el PFA, aunque del Dr. Margalet compruebo que habláis maravillas...por algo será...en fin, voy a ver si voy mejorando con el fisio al que voy, y cuando vaya otra vez al reumatólogo el dia 17 de diciembre , le plantearé de nuevo la posibilidad de que sea un PFA a ver que dice, y si al menos me pueden hacer alguna prueba más.",elatleta.com,09/12/2010,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page32
Jardón,"Hola Skaparapidska, soy Jardón tengo 37 años y soy de Asturias, yo me operé con el Dr. Margalet en Barcelona, y la verdad es que las dos intervenciones fueron fenomenales, la evolución inmejorable, y mi situación era muy delicada, te lo aseguro. En mi caso estuve solo un día en la clínica, el día de la intervención a la mañana siguiente alta y para casita con muletas y apoyando pero sin descargar el peso sobre la pierna operada, ni flexionar más de 90º,  fue con anestesia general y dura aproximadamente 1 hora y 30 minutos, dependiendo del trabajo a realizar. La verdad es que a mí me fue estupendamente y en un plazo de 10 a 15 días ya te pueden quitar las 4 grapas de las dos incisiones (que son como una uña), y desde ese momento piscina, isométricos para fortalecer la musculatura, ya me dejaron conducir con cuidado, y al mes apoyar descargando el peso, la pierna tarda unos días en recuperar el sentido, está como adormilada y pesa pero cada día va mejor, incluso dejé una muleta, la otra es por seguridad, pero a la semana siguiente fuera, luego pesas, bici estática, pero sobre todo nadar y ejercicios en el agua y a los dos meses revisión y alta definitiva, pasados tres meses operé la segunda y otro tanto de lo mismo. No llegaron a ponerme los factores, ya que las recuperaciónes fueron espectaculares y la verdad es que a día de hoy es lo mejor que pude haber hecho. Mi vida es totalmente normal, practicar deporte, bailar, ect....y sobre todo no hay dolor. Espero que te sirva de orientación. Saludos Asturias.",elatleta.com,10/01/2011,http://www.elatleta.com/foro/showthread.php?119886-El-choque-f%C3%A9moro-acetabular/page33
